Locus,Pubmed accession number
5GJB_B,['27430951']
5MFX_B,[]
5TPY_A,['27934765']
7LYF_A,['33953197']
7LYG_A,['33953197']
7U4A_A,[]
7V2Z_B,['34904824']
AB908162,['24507466']
AF013415,['9420202']
AF372422,['11457992']
AY326412,['15331698']
AY632535,"['16223950', '17195954']"
BK016692,['34083435']
DI450454,[]
DQ859059,['19741066']
EU074027,['18020965']
EU303241,['18218114']
EU545988,['18680646']
HQ234498,['22389730']
HQ234499,['22389730']
HQ234500,['22389730']
HQ234501,['22389730']
HW822069,[]
JC303440,[]
JN860885,['22389730']
KF258813,['23878182']
KF268948,['25514122']
KF268949,['25514122']
KF268950,['25514122']
KF270886,['24516683']
KF270887,['24516683']
KF383015,['24421913']
KF383016,['24421913']
KF383017,['24421913']
KF383018,['24421913']
KF383019,['24421913']
KF383020,['24421913']
KF383021,['24421913']
KF383022,['24421913']
KF383023,['24421913']
KF383024,['24421913']
KF383025,['24421913']
KF383026,['24421913']
KF383027,['24421913']
KF383028,['24421913']
KF383029,['24421913']
KF383030,['24421913']
KF383031,['24421913']
KF383032,['24421913']
KF383033,['24421913']
KF383034,['24421913']
KF383035,['24421913']
KF383036,['24421913']
KF383037,['24421913']
KF383038,['24421913']
KF383039,['24421913']
KF383040,['24421913']
KF383041,['24421913']
KF383042,['24421913']
KF383043,['24421913']
KF383044,['24421913']
KF383045,['24421913']
KF383046,['24421913']
KF383047,['24421913']
KF383048,['24421913']
KF383049,['24421913']
KF383050,['24421913']
KF383051,['24421913']
KF383052,['24421913']
KF383053,['24421913']
KF383054,['24421913']
KF383055,['24421913']
KF383056,['24421913']
KF383057,['24421913']
KF383058,['24421913']
KF383059,['24421913']
KF383060,['24421913']
KF383061,['24421913']
KF383062,['24421913']
KF383063,['24421913']
KF383064,['24421913']
KF383065,['24421913']
KF383066,['24421913']
KF383067,['24421913']
KF383068,['24421913']
KF383069,['24421913']
KF383070,['24421913']
KF383071,['24421913']
KF383072,['24421913']
KF383073,['24421913']
KF383074,['24421913']
KF383075,['24421913']
KF383076,['24421913']
KF383077,['24421913']
KF383078,['24421913']
KF383079,['24421913']
KF383080,['24421913']
KF383081,['24421913']
KF383082,['24421913']
KF383083,['24421913']
KF383084,['24421913']
KF383085,['24421913']
KF383086,['24421913']
KF383087,['24421913']
KF383088,['24421913']
KF383089,['24421913']
KF383090,['24421913']
KF383091,['24421913']
KF383092,['24421913']
KF383093,['24421913']
KF383094,['24421913']
KF383095,['24421913']
KF383096,['24421913']
KF383097,['24421913']
KF383098,['24421913']
KF383099,['24421913']
KF383100,['24421913']
KF383101,['24421913']
KF383102,['24421913']
KF383103,['24421913']
KF383104,['24421913']
KF383105,['24421913']
KF383106,['24421913']
KF383107,['24421913']
KF383108,['24421913']
KF383109,['24421913']
KF383110,['24421913']
KF383111,['24421913']
KF383112,['24421913']
KF383113,['24421913']
KF383114,['24421913']
KF383115,['24421913']
KF383116,['24421913']
KF383117,['24421913']
KF383118,['24421913']
KF383119,['24421913']
KF383120,['24421913']
KF383121,['24421913']
KF993678,['25294619']
KJ461621,['25062427']
KJ579441,['24856001']
KJ579442,['24856001']
KJ634273,[]
KJ680134,['24739982']
KJ680135,['24739982']
KJ776791,['24903869']
KJ873160,['25530324']
KJ873161,['25530324']
KM014700,['25625872']
KM078929,['26611910']
KM078930,['26611910']
KM078931,['26611910']
KM078932,['26611910']
KM078933,['26611910']
KM078934,['26611910']
KM078935,['26611910']
KM078936,['26611910']
KM078937,['26611910']
KM078938,['26611910']
KM078939,['26611910']
KM078940,['26611910']
KM078941,['26611910']
KM078942,['26611910']
KM078943,['26611910']
KM078944,['26611910']
KM078945,['26611910']
KM078946,['26611910']
KM078947,['26611910']
KM078948,['26611910']
KM078949,['26611910']
KM078950,['26611910']
KM078951,['26611910']
KM078952,['26611910']
KM078953,['26611910']
KM078954,['26611910']
KM078955,['26611910']
KM078956,['26611910']
KM078957,['26611910']
KM078958,['26611910']
KM078959,['26611910']
KM078960,['26611910']
KM078961,['26611910']
KM078962,['26611910']
KM078963,['26611910']
KM078964,['26611910']
KM078965,['26611910']
KM078966,['26611910']
KM078967,['26611910']
KM078968,['26611910']
KM078969,['26611910']
KM078970,['26611910']
KM078971,['26611910']
KM078972,['26611910']
KM078973,['26611910']
KM078974,['26611910']
KM078975,['26611910']
KM078976,['26611910']
KM078977,['26611910']
KM078978,['26611910']
KM078979,['26611910']
KM212961,[]
KM212963,[]
KM212964,[]
KM212965,[]
KM212966,[]
KM212967,[]
KM851038,['25811410']
KM851039,['26101272']
KP099609,[]
KP099610,[]
KR815989,['26061233']
KR815990,['26061233']
KR816333,['26401719']
KR816334,['26401719']
KR816335,['26401719']
KR816336,['26401719']
KR872956,[]
KT200609,[]
KT381874,[]
KU179098,"['27088970', '28755588']"
KU232288,[]
KU232289,[]
KU232290,[]
KU232291,[]
KU232292,[]
KU232293,[]
KU232294,[]
KU232295,[]
KU232296,[]
KU232297,[]
KU232298,[]
KU232299,[]
KU232300,[]
KU232301,[]
KU312312,['26775124']
KU312313,['26775124']
KU312314,['26775124']
KU312315,['26775124']
KU321639,['26941134']
KU365777,[]
KU365778,[]
KU365779,[]
KU365780,[]
KU497555,['26897108']
KU501215,['27088323']
KU501216,['27088323']
KU501217,['27088323']
KU509998,['27111294']
KU527068,['26862926']
KU556802,['27088574']
KU646827,['27089253']
KU646828,['27089253']
KU647676,['27274849']
KU681081,['27174274']
KU681082,['27174274']
KU686218,['27088574']
KU707826,['27071531']
KU720415,[]
KU724096,['27139219']
KU724097,['27139219']
KU724098,['27139219']
KU724099,['27139219']
KU724100,['27139219']
KU729217,[]
KU729218,[]
KU740184,[]
KU740199,['27070735']
KU744693,['27103718']
KU752544,['27134823']
KU752545,['27134823']
KU758868,[]
KU758869,[]
KU758870,[]
KU758871,[]
KU758872,[]
KU758873,[]
KU758874,[]
KU758875,[]
KU758876,[]
KU758877,[]
KU758878,[]
KU761560,[]
KU761561,[]
KU761564,[]
KU820897,['27654889']
KU820898,[]
KU820899,[]
KU844090,[]
KU853012,['26987769']
KU853013,['26987769']
KU866423,['26993654']
KU867812,[]
KU870645,[]
KU872850,[]
KU884971,['28198548']
KU886298,['27389909']
KU886699,['28198548']
KU886700,['28198548']
KU886701,['28198548']
KU886702,['28198548']
KU886703,['28198548']
KU886704,['28198548']
KU886705,['28198548']
KU886706,['28198548']
KU886707,['28198548']
KU886708,['28198548']
KU886709,['28198548']
KU886710,['28198548']
KU886711,['28198548']
KU886712,['28198548']
KU886713,['28198548']
KU922923,[]
KU922960,['27491989']
KU926309,['27341420']
KU926310,['27341420']
KU926323,[]
KU926324,[]
KU926325,[]
KU926326,[]
KU937936,[]
KU940224,['27448188']
KU940227,['27448188']
KU940228,['27448188']
KU954085,['27497951']
KU955589,[]
KU955590,[]
KU955591,['27174284']
KU955592,['27174284']
KU955593,['27174284']
KU955594,['27174284']
KU955595,['27174284']
KU963573,[]
KU963574,[]
KU963796,[]
KU978616,[]
KU985087,[]
KU985088,[]
KU991811,[]
KU997667,[]
KX013000,[]
KX051560,[]
KX051561,[]
KX051562,[]
KX051563,['27694479']
KX056898,[]
KX059013,[]
KX059014,[]
KX062044,[]
KX062045,[]
KX087101,[]
KX087102,[]
KX101060,['27448188']
KX101061,['27448188']
KX101062,['27448188']
KX101063,['27448188']
KX101064,['27448188']
KX101065,['27448188']
KX101066,['27448188']
KX101067,['27448188']
KX117076,[]
KX156774,[]
KX156775,[]
KX156776,[]
KX162585,[]
KX162586,[]
KX173840,[]
KX173841,[]
KX173842,[]
KX173843,[]
KX173844,[]
KX185891,[]
KX197192,['27706161']
KX197205,[]
KX198134,[]
KX198135,[]
KX212103,[]
KX216632,[]
KX216633,[]
KX216634,[]
KX216635,[]
KX216636,[]
KX216637,[]
KX216638,[]
KX216639,[]
KX216640,[]
KX247632,[]
KX247638,[]
KX247646,[]
KX253994,['27311329']
KX253995,['27311329']
KX253996,[]
KX261851,[]
KX261852,[]
KX261853,[]
KX261854,[]
KX261855,[]
KX262887,[]
KX266255,[]
KX269878,['27542178']
KX280026,['27555311']
KX346600,[]
KX358623,[]
KX369547,[]
KX377120,['27601517']
KX377335,[]
KX377336,[]
KX377337,[]
KX380262,[]
KX380263,[]
KX421193,['27443522']
KX421194,['27443522']
KX421195,['27443522']
KX443144,[]
KX443145,[]
KX446950,[]
KX446951,[]
KX447509,['27729507']
KX447510,['27729507']
KX447511,['27729507']
KX447512,['27729507']
KX447513,['27729507']
KX447514,['27729507']
KX447515,['27729507']
KX447516,['27729507']
KX447517,['27729507']
KX447518,['27729507']
KX447519,['27729507']
KX447520,['27729507']
KX447521,['27729507']
KX455424,['27875110']
KX455425,['27875110']
KX455426,['27875110']
KX496807,['27417494']
KX496808,['27417494']
KX496809,['27417494']
KX496810,['27417494']
KX496811,['27417494']
KX496812,['27417494']
KX496813,['27417494']
KX496814,['27417494']
KX496815,['27417494']
KX496816,['27417494']
KX496817,['27417494']
KX496818,['27417494']
KX496819,['27417494']
KX496820,['27417494']
KX496821,['27417494']
KX496822,['27417494']
KX496823,['27417494']
KX496824,['27417494']
KX496825,['27417494']
KX496826,['27417494']
KX496827,['27417494']
KX496828,['27417494']
KX496829,['27417494']
KX496830,['27417494']
KX496831,['27417494']
KX496832,['27417494']
KX496833,['27417494']
KX496834,['27417494']
KX496835,['27417494']
KX496836,['27417494']
KX496837,['27417494']
KX496838,['27417494']
KX496839,['27417494']
KX496840,['27417494']
KX496841,['27417494']
KX496842,['27417494']
KX496843,['27417494']
KX496844,['27417494']
KX496845,['27417494']
KX496846,['27417494']
KX496847,['27417494']
KX496848,['27417494']
KX496849,['27417494']
KX496850,['27417494']
KX496851,['27417494']
KX496852,['27417494']
KX496853,['27417494']
KX496854,['27417494']
KX496855,['27417494']
KX496856,['27417494']
KX496857,['27417494']
KX496858,['27417494']
KX496859,['27417494']
KX496860,['27417494']
KX496861,['27417494']
KX496862,['27417494']
KX496863,['27417494']
KX496864,['27417494']
KX496865,['27417494']
KX496866,['27417494']
KX496867,['27417494']
KX496868,['27417494']
KX496869,['27417494']
KX496870,['27417494']
KX496871,['27417494']
KX496872,['27417494']
KX496873,['27417494']
KX496874,['27417494']
KX520666,[]
KX548902,[]
KX576684,['27555311']
KX601166,[]
KX601167,[]
KX601168,[]
KX601169,[]
KX673530,[]
KX694532,[]
KX694533,[]
KX694534,[]
KX702400,"['28450510', '29300859']"
KX757069,[]
KX766028,[]
KX766029,[]
KX806557,[]
KX811222,[]
KX813683,[]
KX827268,['27681699']
KX827309,[]
KX830930,[]
KX830960,[]
KX830961,[]
KX832731,['28538723']
KX838904,['28538723']
KX838905,['28538723']
KX838906,['28538723']
KX842449,['28538723']
KX856011,[]
KX867786,[]
KX879603,['28232448']
KX879604,['28232448']
KX893855,"['28450510', '29300859']"
KX906952,[]
KX906953,[]
KX906954,[]
KX906955,[]
KX906956,[]
KX922703,['28538723']
KX922704,['28538723']
KX922705,['28538723']
KX922706,['28538723']
KX922707,['28538723']
KX922708,['28538723']
KX928077,[]
KX929924,['27974667']
KX929925,['27974667']
KX929926,['27974667']
KX929927,['27974667']
KX929928,['27974667']
KX929929,['27974667']
KX954122,[]
KX986760,[]
KX986761,[]
KY003152,[]
KY003153,[]
KY003154,[]
KY003155,[]
KY003156,[]
KY003157,[]
KY005879,['28982578']
KY007221,[]
KY014295,['28538734']
KY014296,['28538734']
KY014297,['28538734']
KY014298,['28538734']
KY014299,['28538734']
KY014300,['28538734']
KY014301,['28538734']
KY014302,['28538734']
KY014303,['28538734']
KY014304,['28538734']
KY014305,['28538734']
KY014306,['28538734']
KY014307,['28538734']
KY014308,['28538734']
KY014309,['28538734']
KY014310,['28538734']
KY014311,['28538734']
KY014312,['28538734']
KY014313,['28538734']
KY014314,['28538734']
KY014315,['28538734']
KY014316,['28538734']
KY014317,['28538734']
KY014318,['28538734']
KY014319,['28538734']
KY014320,['28538734']
KY014321,['28538734']
KY014322,['28538734']
KY014323,['28538734']
KY014324,['28538734']
KY014325,['28538734']
KY014326,['28538734']
KY014327,['28538734']
KY014328,[]
KY014329,[]
KY042039,['28388922']
KY042040,['28388922']
KY042041,['28388922']
KY042042,['28388922']
KY042043,['28388922']
KY042044,['28388922']
