,Pubmed accesion code number 1,Locus
0,[''],LT964970
1,[''],LT964969
2,[''],LT964968
3,[''],LT964967
4,[''],LT964966
5,[''],LT964965
6,[''],LT964964
7,[''],LT964963
8,[''],LT964962
9,[''],LT964961
10,[''],LT964960
11,[''],LT964959
12,[''],LT964958
13,[''],LT964957
14,[''],LT964956
15,[''],LT964955
16,[''],LT964954
17,[''],LT964953
18,[''],LT964952
19,[''],LT964951
20,[''],LT964950
21,[''],LT964949
22,[''],LT964948
23,[''],LT964947
24,[''],LT964946
25,[''],LT964945
26,[''],OF451348
27,[''],LY803334
28,[''],LY803326
29,[''],LY803333
30,[''],LY803325
31,[''],LY978949
32,[''],LY575877
33,[''],LY575876
34,[''],LY575875
35,[''],LY575874
36,[''],LY575873
37,[''],LY575872
38,[''],LY575871
39,[''],LY575870
40,[''],LY575869
41,[''],LY575868
42,[''],LY575867
43,[''],LY575866
44,[''],MA407076
45,[''],MA407075
46,[''],MA407074
47,[''],MA407073
48,[''],MA407072
49,[''],MA407071
50,[''],MA407070
51,[''],MA407069
52,[''],MA407068
53,[''],MA407067
54,[''],MA407066
55,[''],MA407065
56,[''],MH229986
57,[''],KX702402
58,[''],KX702401
59,[''],HZ468379
60,[''],HZ468378
61,[''],HZ468377
62,[''],HZ468376
63,[''],HZ468375
64,[''],HZ468374
65,[''],HZ468373
66,[''],LG064797
67,[''],LG064796
68,[''],LG064795
69,[''],LG064794
70,[''],LG064793
71,[''],LG064792
72,[''],LG064791
73,[''],HW642752
74,[''],HW642751
75,[''],HW642750
76,[''],HW642749
77,[''],HW642748
78,[''],HW642747
79,[''],HW642746
80,[''],HW642745
81,[''],HW642744
82,[''],HW642743
83,[''],HW642742
84,[''],HW642741
85,[''],HW642740
86,[''],HW249847
87,[''],HW249846
88,[''],HW249845
89,[''],HW249844
90,[''],HW249843
91,[''],HW249842
92,[''],HW249841
93,[''],HW249840
94,[''],HW249839
95,[''],HW249838
96,[''],HW249837
97,[''],HW249836
98,[''],HW249835
99,[''],HW249834
100,[''],HW249833
101,[''],HW249788
102,[''],HW249787
103,[''],HW249786
104,[''],HW249785
105,[''],HW249784
106,[''],HW249783
107,[''],HW249782
108,[''],HW249781
109,[''],HW249780
110,[''],HW249779
111,[''],HW249778
112,[''],HW249777
113,[''],HW249776
114,[''],HW249775
115,[''],MT526807
116,[''],MT526806
117,[''],MT526805
118,[''],MT526804
119,[''],MT526803
120,[''],MT526802
121,[''],MT526801
122,[''],MT526800
123,[''],MT526799
124,[''],MT526798
125,[''],MT526797
126,[''],MT526796
127,[''],MK028840
128,[''],MK028839
129,[''],MK028838
130,[''],MK028837
131,[''],MK028836
132,['20519386'],FJ457921
133,['26347221'],KF283987
134,['26347221'],KF283986
135,['23725047'],HQ846359
136,['23725047'],HQ846358
137,['23725047'],HQ846357
138,['23725047'],HQ846356
139,"['19683467', '23209750']",FN295483
